Company ID,Company Name,Branch ID,Street Address,City,State,Postal Code,License Number,License Name
17022,"Planet Home Lending, LLC",,321 Research Parkway STE 303,Meriden,CT,06450,DC112046-100,MA Debt Collector Other Trade Name #1
17022,"Planet Home Lending, LLC",957081,3111 W Dr Martin Luther King Jr Blvd Suite 325,Tampa,FL,33607,DC17022,MA Debt Collector
17022,"Planet Home Lending, LLC",1281046,4120 Dublin Boulevard Suite 150,Dublin,CA,94568,DC17022,MA Debt Collector
17022,"Planet Home Lending, LLC",1539736,120 Erie Canal Drive Suite 240,Rochester,NY,14626,DC17022,MA Debt Collector
17022,"Planet Home Lending, LLC",1648330,5020 Riverside Drive Suite 300,Irving,TX,75039,DC17022,MA Debt Collector
934179,"Portfolio Recovery Associates, LLC",,120 Corporate Blvd. Suite 100,Norfolk,VA,23502,DC1025,MA Debt Collector
934179,"Portfolio Recovery Associates, LLC",946851,"400 Butler Farm Road, Ste 300 ",Hampton,VA,23666,DC1026,MA Debt Collector
934179,"Portfolio Recovery Associates, LLC",946852,500 West First Avenue ,Hutchinson,KS,67501,DC1024,MA Debt Collector
934179,"Portfolio Recovery Associates, LLC",946853,4829 Highway 45 North ,Jackson,TN,38305,DC1146,MA Debt Collector
934179,"Portfolio Recovery Associates, LLC",1141623,6341 Boulevard 26 Suite 500,North Richland Hills,TX,76118,DC934179,MA Debt Collector
934179,"Portfolio Recovery Associates, LLC",1694071,309 Huffman Mill Road Suite 180,Burlington,NC,27215,DC934179,MA Debt Collector
934179,"Portfolio Recovery Associates, LLC",1714816,130 Corporate Blvd. ,Norfolk,VA,23502,DC934179,MA Debt Collector
391089,"PRA Receivables Management, LLC",,130 Corporate Blvd ,Norfolk,VA,23502,DC0709,MA Debt Collector
391089,"PRA Receivables Management, LLC",1069466,"10 Orchard, Suite 100 ",Lake Forest,CA,92630,DC391089,MA Debt Collector
391089,"PRA Receivables Management, LLC",1828101,"8245 Tournament Dr., Suite 330 ",Memphis,TN,38125,DC391089,MA Debt Collector
995554,"Professional Account Management, LLC",,325 Daniel Zenker Drive Suite 4,Horseheads,NY,14845,DC995554,MA Debt Collector
903771,"Professional Debt Mediation, Inc",,8657 Baypine Road Suite 201 ,Jacksonville,FL,32256,DC903771,MA Debt Collector
936788,"Professional Finance Company, Inc.",,"5754 W. 11th Street, Suite 100 ",Greeley,CO,80634-4811,DC1115,MA Debt Collector
952197,PROFESSIONAL MANAGEMENT CORP.,,22 Atlantic Ave Unit 2E,Marblehead,MA,01945,DC0702,MA Debt Collector
945528,"Professional Placement Services, LLC",,272 N 12th Street ,Milwaukee,WI,53233,DC1101,MA Debt Collector
1120080,"Professional Service Bureau, Inc.",,911 Lund Blvd Suite 100,Anoka,MN,55303,DC1120080,MA Debt Collector
1273,Quantum Servicing Corporation,,8402 Laurel Fair Circle Suite 100,Tampa,FL,33610,DC1177,MA Debt Collector
920364,"R.A. Rogers, Inc.",,"2135 Espey Court, Suite 7 ",Crofton,MD,21114-2442,DC920364,MA Debt Collector
934272,"R.M. Galicia, Inc.",,1521 W. Cameron Avenue 1st Floor,West Covina,CA,91790,DC0753,MA Debt Collector
934272,"R.M. Galicia, Inc.",1126460,"6275 McLeod Drive, #2-4 ",las vegas,NV,89120,DC934272,MA Debt Collector
1390120,R.T.R. Financial Services Inc.,,"2 Teleport Drive, Suite 302 ",Staten Island,NY,10311,DC1390120,MA Debt Collector
936423,Radius Global Solutions LLC,,7831 Glenroy Rd. #250 ,Edina,MN,55439,DC0509,MA Debt Collector
936423,Radius Global Solutions LLC,1757649,"1111 Montgomery Street, Suite A",Decorah,IA,52101,DC936423,MA Debt Collector
936423,Radius Global Solutions LLC,1757655,9550 Regency Square Blvd. Suite 500,Jacksonville,FL,32225,DC936423,MA Debt Collector
936423,Radius Global Solutions LLC,1757666,"501 & 601 A Wing,  Supreme Business Park, Hiranand Suite 501, 601 & 701",Mumbai,,40076,DC936423,MA Debt Collector
936423,Radius Global Solutions LLC,1757667,11210 Thompson Avenue ,Lenexa,KS,66219,DC936423,MA Debt Collector
936423,Radius Global Solutions LLC,1757675,"Planta Baja, Centro Comercial Plaza Agora, Avenida Simon Bolivar (Transistmica)",Panama,,,DC936423,MA Debt Collector
936423,Radius Global Solutions LLC,1757676,500 North Franklin Turnpike Suite 315,Ramsey,NJ,07446,DC936423,MA Debt Collector
936423,Radius Global Solutions LLC,1829794,M12-18 Southern Cross Blvd. Montego Freeport,Montego Bay,,,DC936423,MA Debt Collector
936423,Radius Global Solutions LLC,2447863,3320 West Sahara Avenue Suite 200,Las Vegas,NV,89102,DCDC936423,MA Debt Collector
936423,Radius Global Solutions LLC,2447873,700 Turner Industrial Way Suite 160,Aston,PA,19014,DC936423,MA Debt Collector
936423,Radius Global Solutions LLC,2516919,"Low Ground Estate, Brown Hill St. John's Parish",Charlestown,,00265,DC936423,MA Debt Collector
1135875,"Ray Klein, Inc.",,400 International Way ,Springfield,OR,97477,DC1135875,MA Debt Collector
9745,"Real Time Resolutions, Inc.",,"1349 Empire Central Drive, Suite 150 ",Dallas,TX,75247,DC9745,MA Debt Collector
9745,"Real Time Resolutions, Inc.",1486458,"1951 West Camelback Road, Suite 115 ",Phoenix,AZ,85015,DC9745,MA Debt Collector
9745,"Real Time Resolutions, Inc.",1511963,"Bioprist Knowledge Park No. 1, 4th Floor 1 A Pimento Way","Freeport, Montego Bay",,W.I.,DC9745,MA Debt Collector
940587,Receivable Management Corporation,,400 West Cummings Park ste 4450 ,Woburn,MA,01801,DC0281,MA Debt Collector
953277,Receivable Management Service-Recovery Division LLC,,7350 Tilghman St Suite #300,Allentown,PA,18106,DC1233,MA Debt Collector
953277,Receivable Management Service-Recovery Division LLC,985242,"1250 East Diehl Rd., Suite 300 ",Naperville,IL,60563,DC1239,MA Debt Collector
953277,Receivable Management Service-Recovery Division LLC,985246,317 North Main Street ,Pueblo,CO,81003,DC1241,MA Debt Collector
953277,Receivable Management Service-Recovery Division LLC,985249,4836 Brecksville Road ,Richfield,OH,44286,DC1242,MA Debt Collector
953277,Receivable Management Service-Recovery Division LLC,985254,"A-154A, Sector 63 ",Noida UP,,201 301,DC1244,MA Debt Collector
953277,Receivable Management Service-Recovery Division LLC,1395743,77 Hartland Street Suite 403,East Hartford,CT,06108,DC953277,MA Debt Collector
936243,"Receivables Management Associates, Inc.",,"100 Cummings Center, Suite 309-J ",Beverly,MA,01915,DC0118,MA Debt Collector
1087556,"Receivables Management Partners, LLC",,8085 Knue Road ,Indianapolis,IN,46250,DC1087556,MA Debt Collector
1087556,"Receivables Management Partners, LLC",1677371,2250 E. Devon Avenue Suite 352,Des Plaines,IL,60018,DC1087556,MA Debt Collector
1087556,"Receivables Management Partners, LLC",1677375,5045 Franklin Ave ,Waco,TX,76710,DC1087556,MA Debt Collector
1087556,"Receivables Management Partners, LLC",1697744,"8155 Executive Court, Suite 10 ",Lansing,MI,48917,DC1087556,MA Debt Collector
1087556,"Receivables Management Partners, LLC",1922873,200 14th Avenue East ,Sartell,MN,56377,DC1087556,MA Debt Collector
1087556,"Receivables Management Partners, LLC",2080277,"4135 South Stream Blvd, Suite 400 ",Charlotte,NC,28217,DC1087556,MA Debt Collector
1087556,"Receivables Management Partners, LLC",2442715,20220 Center Ridge Road Ste 200 ,Rocky River,OH,44116,DC1087556,MA Debt Collector
1126626,"Receivables Outsourcing, LLC",,"3300 Rider Trail South, Suite 600 ",Earth City,MO,63045,DC1126626,MA Debt Collector
1126626,"Receivables Outsourcing, LLC",1268531,"25001 Emery Road, Suite 250 ",Warrensville Heights,OH,44128,DC1126626,MA Debt Collector
1513905,Recovery Management Solutions LLC,,485 Cayuga Rd. Ste 402 ,Cheektowaga,NY,14225,DC1513905,MA Debt Collector
938848,"Reliant Capital Solutions, LLC",,670 Cross Pointe Road ,Gahanna,OH,43230,DC1351,MA Debt Collector
934193,"Remex, Inc.",,307 Wall St. ,Princeton,NJ,08540,DC0607,MA Debt Collector
1577947,RENT RECOVERY SOLUTIONS LLC,,1945 The Exchange SE Ste 120 ,Atlanta,GA,30339,DC1577947,MA Debt Collector
980133,"RentDebt Automated Collections, LLC",,304 Northcreek Blvd ,Goodlettsville,TN,37072,DC980133,MA Debt Collector
1163074,"Republic Equity Credit Services, Inc.",,307 N. Michigan Ave. ,Chicago,IL,60601,DC1163074,MA Debt Collector
2073234,"Resident Advocate, LLC",,4620 Woodland Corporate Boulevard ,Tampa,FL,33614,DC2073234,MA Debt Collector
2301,Resurgent Capital Services L.P.,,55 Beattie Place Suite 110,Greenville,SC,29601,DC0626,MA Debt Collector
237755,"Revco Solutions, Inc.",,7016 A.C. Skinner Parkway  Suite 160 ,"Jacksonville, FL 32256",FL,32256,DC0538,MA Debt Collector
237755,"Revco Solutions, Inc.",951119,1161 East Clark Road Suite 240,Dewitt,MI,48820,DC1285,MA Debt Collector
237755,"Revco Solutions, Inc.",951646,6450 Poe Avenue Suite 301,Dayton,OH,45414,DC111050-106,MA Debt Collector
237755,"Revco Solutions, Inc.",2023736,"2700 Meridian Parkway, Suite 200 ",Durham,NC,27713,DC237755,MA Debt Collector
237755,"Revco Solutions, Inc.",2330684,5807 N 102nd Street ,Omaha,NE,68134,DC237755,MA Debt Collector
931231,"RGS Financial,Inc.",,1700 Jay Ell Dr. Suite 200,"Richardson,",TX,75081-6788,DC0950,MA Debt Collector
932084,"RMS - Recovery Management Services, Inc.",,"4200 Cantera Drive, Suite 211 ",Warrenville,IL,60555,DC112671-100,MA Debt Collector
1758660,"Roadrunner Account Services, LLC",,"4851 Regent Blvd., Suite 100 ",Irving,TX,75063,DC1758660,MA Debt Collector
3030,"Rocket Mortgage, LLC",,1050 Woodward Avenue ,Detroit,MI,48226,DC112727-100,MA Debt Collector
18188,RoundPoint Mortgage Servicing LLC,,446 Wrenplace Road ,Fort Mill,SC,29715,DC1207,MA Debt Collector
1135103,"Rozlin Financial Group, Inc.",,1628 DeKalb Ave ,Sycamore,IL,60178,DC1135103,MA Debt Collector
931920,"RUI Credit Services, Inc.",,1305 Walt Whitman Road ,Melville,NY,11747,DC0811,MA Debt Collector
185729,Rushmore Loan Management Services LLC,,"11511 Luna Road, Suite 625 ",Farmers Branch,TX,75234,DC1332,MA Debt Collector
943252,"SACOR FINANCIAL, INC",,2270 Douglas Blvd ,Roseville,CA,95661,DC112852-100,MA Debt Collector
934289,"Sage Capital Recovery, LLC",,401 Minnetonka Road ,Hi-Nella,NJ,08083,DC1291,MA Debt Collector
1750487,Salary Finance Inc,,77 Sleeper Street ,Boston,MA,02210,DC1750487,MA Debt Collector
4239,Santander Consumer USA Inc.,,1601 Elm Street Suite 800,Dallas,TX,75201,DC4239,MA Debt Collector
4239,Santander Consumer USA Inc.,198874,"5201 Rufe Snow Drive, Ste. 100 ",North Richland Hills,TX,76180,DC4239,MA Debt Collector
